Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Hankins,JosephD.","CAT3-Culture,Art&TechnologyIII(E)",SP17,232,124,78.3%,95.8%,3.65,B+(3.60),B+(3.42)
"Godino,JobGideon",CAT124-SixthCollegePracticum(A),WI17,6,4,100.0%,100.0%,7.00,B+(3.50),N/A
"Solomon,AmandaLeeAlbaniel",CAT125-PublicRhetoric&PractCommun(A),WI17,106,85,91.5%,97.6%,3.60,B+(3.64),B+(3.58)
"Forbes,DianeA",CAT125-PublicRhetoric&PractCommun(B),WI17,117,50,93.2%,90.9%,4.68,A-(3.83),A-(3.70)
"Sartor,Alexandra",CAT125R-PblcRhetoricPrctCommOnline(A),WI17,188,152,91.2%,98.0%,3.83,A-(3.73),B+(3.67)
"Bigham,DavidJoseph","CAT2-Culture,Art&TechnologyII(A)",WI17,270,157,79.2%,93.8%,4.69,B(3.24),B(3.13)
"Glaser,Amelia","CAT2-Culture,Art&TechnologyII(B)",WI17,237,112,73.5%,86.3%,4.22,B+(3.51),B+(3.51)
"Thorpe,CharlesRobert","CAT2-Culture,Art&TechnologyII(C)",WI17,139,80,61.3%,54.7%,4.36,B+(3.32),B(3.24)
"Bigham,DavidJoseph","CAT2-Culture,Art&TechnologyII(D)",WI17,100,42,65.9%,82.9%,3.95,B+(3.35),B(3.13)
"Bronstein,PhoebeMalan","CAT2-Culture,Art&TechnologyII(E)",WI17,153,124,75.4%,78.1%,4.48,B(3.22),B(3.15)
"Solomon,AmandaLeeAlbaniel","CAT1-Culture,Art&TechnologyI(A)",FA16,259,252,74.5%,89.2%,5.76,B(3.17),B(3.16)
"Algaze,Guillermo","CAT1-Culture,Art&TechnologyI(B)",FA16,185,169,69.7%,77.0%,4.80,B(3.30),B(3.16)
"MyerstonSantana,Jacobo","CAT1-Culture,Art&TechnologyI(C)",FA16,188,167,64.8%,66.7%,4.35,B+(3.68),B+(3.48)
"Westman,RobertS","CAT1-Culture,Art&TechnologyI(D)",FA16,233,222,74.7%,73.3%,5.36,B+(3.34),B+(3.35)
"Pantoja,JenniferMetten","CAT1-Culture,Art&TechnologyI(E)",FA16,137,130,79.4%,98.4%,4.92,B+(3.62),B+(3.57)
"Solomon,AmandaLeeAlbaniel",CAT124-SixthCollegePracticum(A),FA16,8,5,100.0%,100.0%,5.50,B(3.00),N/A
"Stalbaum,Brett",CAT124-SixthCollegePracticum(B),FA16,10,5,100.0%,80.0%,4.10,A-(3.75),N/A
"Dominguez,Ricardo",CAT124-SixthCollegePracticum(C),FA16,4,3,100.0%,100.0%,4.50,A(4.00),N/A
"Nericcio,WilliamAnthony",CAT125-PublicRhetoric&PractCommun(A),FA16,134,71,62.9%,61.3%,2.93,B+(3.55),B+(3.50)
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(B),FA16,141,71,77.3%,87.9%,4.38,B+(3.47),B+(3.37)
"Sartor,Alexandra",CAT125R-PblcRhetoricPrctCommOnline(A),FA16,184,127,91.1%,95.1%,3.46,B+(3.70),B+(3.59)
"Barnadas,MelindaRose",CAT124-SixthCollegePracticum(A),S216,6,3,100.0%,100.0%,8.50,B(3.00),N/A
"Hwang,TaeOk",CAT124-SixthCollegePracticum(A),S216,6,3,100.0%,100.0%,8.50,B(3.00),N/A
"Araki-Kawaguchi,HirokiMichael",CAT124-SixthCollegePracticum(A),S116,5,3,100.0%,100.0%,2.50,A(4.00),N/A
"Sartor,Alexandra",CAT125R-PblcRhetoricPrctCommOnline(A),S116,176,72,97.1%,97.1%,6.07,A-(3.70),B+(3.68)
"Hill,LindaL.",CAT124-SixthCollegePracticum(B),SP16,4,3,50.0%,50.0%,7.50,B(3.00),N/A
"Stalbaum,Brett",CAT124-SixthCollegePracticum(C),SP16,16,5,100.0%,100.0%,5.70,A(4.00),N/A
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(A),SP16,165,74,77.1%,92.9%,4.50,B+(3.41),B+(3.35)
"Sartor,Alexandra",CAT125R-PblcRhetoricPrctCommOnline(A),SP16,168,108,85.7%,94.3%,3.71,A-(3.80),B+(3.69)
"Dominguez,Ricardo","CAT3-Culture,Art&TechnologyIII(A)",SP16,324,150,57.7%,48.2%,3.37,B+(3.67),B+(3.55)
"Smith,AshleyElizabeth","CAT3-Culture,Art&TechnologyIII(B)",SP16,186,166,80.0%,84.8%,5.59,B+(3.54),B+(3.62)
"McCallum,ClintonH","CAT3-Culture,Art&TechnologyIII(C)",SP16,183,70,34.3%,55.2%,3.67,B(3.25),B+(3.34)
"Streeby,Shelley","CAT3-Culture,Art&TechnologyIII(D)",SP16,269,145,57.6%,65.9%,4.78,B+(3.53),B+(3.57)
"Kester,Grant",CAT124-SixthCollegePracticum(C),WI16,6,5,100.0%,100.0%,8.50,A(4.00),N/A
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(A),WI16,182,93,78.9%,91.1%,4.27,B+(3.51),B+(3.42)
"Sartor,Alexandra",CAT125R-PblcRhetoricPrctCommOnline(A),WI16,178,118,94.0%,99.1%,4.07,A-(3.74),B+(3.64)
"Patterson,PatrickH.","CAT2-Culture,Art&TechnologyII(A)",WI16,271,236,83.5%,92.6%,5.33,B+(3.50),B+(3.45)
"Thorpe,CharlesRobert","CAT2-Culture,Art&TechnologyII(B)",WI16,270,198,63.9%,69.1%,4.87,B(3.16),B(3.10)
"Bigham,DavidJoseph","CAT2-Culture,Art&TechnologyII(C)",WI16,204,129,81.5%,95.2%,4.43,B+(3.53),B+(3.43)
"Araki-Kawaguchi,HirokiMichael","CAT2-Culture,Art&TechnologyII(D)",WI16,99,63,93.4%,95.1%,4.20,B+(3.48),B+(3.58)
"McCallum,ClintonH","CAT2-Culture,Art&TechnologyII(E)",WI16,135,80,65.3%,76.0%,5.10,B+(3.35),B(3.27)
"Algaze,Guillermo","CAT1-Culture,Art&TechnologyI(A)",FA15,236,133,58.8%,62.2%,4.36,B+(3.43),B(3.26)
"Borgo,DavidGarcia","CAT1-Culture,Art&TechnologyI(B)",FA15,184,137,76.4%,94.5%,4.64,B+(3.34),B(3.12)
"Kwak,Nancy","CAT1-Culture,Art&TechnologyI(C)",FA15,203,102,65.3%,85.3%,5.63,B+(3.33),B(3.03)
