Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Gopal,ChristopherS.",MGT175-SupplyChainManagement(A),SP19,54,34,94.1%,93.9%,3.62,B+(3.70),B(3.18)
"Kim,ByungCho",MGT177-AnalyticsinSupplyChainMgmt(A),SP19,10,11,88.9%,100.0%,5.39,C+(2.63),N/A
"McKay,MichaelJ",MGT18-ManagingDiverseTeams(A),SP19,76,67,83.3%,93.9%,3.17,B(3.02),B-(3.00)
"McKay,MichaelJ",MGT18-ManagingDiverseTeams(B),SP19,78,65,93.8%,93.8%,3.94,B+(3.47),B-(3.00)
"McKay,MichaelJ",MGT18-ManagingDiverseTeams(C),SP19,79,68,88.1%,100.0%,3.95,B(3.28),B-(3.00)
"McKay,MaryA",MGT18-ManagingDiverseTeams(D),SP19,29,27,84.6%,92.3%,3.27,B-(2.75),B-(2.93)
"McKay,MaryA",MGT18-ManagingDiverseTeams(E),SP19,77,70,97.1%,95.7%,2.73,B+(3.37),B-(2.93)
"Buchanan,HaroldG",MGT181-EnterpriseFinance(A),SP19,74,65,95.3%,93.8%,5.78,B(3.26),C+(2.47)
"Buchanan,HaroldG",MGT181-EnterpriseFinance(B),SP19,110,99,87.6%,86.6%,5.92,B(3.05),C+(2.47)
"Bliss,BarbaraAnn",MGT181-EnterpriseFinance(C),SP19,64,53,84.9%,100.0%,5.12,B(3.29),B(3.09)
"Dunn,LouisJean",MGT185-InvestmentBanking(A),SP19,102,40,63.9%,74.3%,9.56,B(3.15),B(3.06)
"Dunn,LouisJean",MGT187-NewVentureFinance(A),SP19,93,28,92.3%,84.0%,4.10,B+(3.42),B(3.03)
"Wagner,TimothyRyan",MGT3-QuantMethodsinBusiness(A),SP19,54,19,88.2%,94.1%,4.15,B+(3.64),B(3.07)
"Levkoff,StevenB.",MGT4-FinancialAccounting(A),SP19,19,10,70.0%,90.0%,6.10,B-(2.90),N/A
"Pecore,JosephP.",MGT45-PrinciplesofAccounting(A),SP19,153,123,94.2%,95.0%,5.59,B+(3.31),B(3.08)
"Pecore,JosephP.",MGT45-PrinciplesofAccounting(B),SP19,91,70,89.9%,95.7%,5.24,B+(3.43),B(3.08)
"Houskeeper,Robert",MGT5-ManagerialAccounting(A),SP19,190,131,93.0%,88.3%,3.86,B+(3.40),B-(2.86)
"Eberhard,CraigA",MGT103-ProductMarketing&Management(A),WI19,46,44,90.9%,90.9%,3.68,B(3.26),B-(2.87)
"Eberhard,CraigA",MGT103-ProductMarketing&Management(B),WI19,76,72,94.4%,95.8%,4.08,B+(3.34),B-(2.87)
"Ehrich,KristineR",MGT103-ProductMarketing&Management(C),WI19,76,72,97.2%,97.2%,3.81,B(3.16),B(3.24)
"Ehrich,KristineR",MGT103-ProductMarketing&Management(D),WI19,73,70,97.1%,97.1%,3.93,B+(3.48),B(3.24)
"Ehrich,KristineR",MGT103-ProductMarketing&Management(E),WI19,66,67,92.5%,97.0%,4.98,B+(3.44),B(3.24)
"Bates,KennethWalter",MGT103-ProductMarketing&Management(F),WI19,74,69,91.0%,89.6%,4.21,B(3.24),B(3.11)
"Bates,KennethWalter",MGT103-ProductMarketing&Management(G),WI19,74,63,93.5%,90.3%,4.85,B+(3.30),B(3.11)
"Demill,Burritt",MGT103-ProductMarketing&Management(H),WI19,22,24,91.7%,91.7%,3.83,B+(3.43),B(3.25)
"Campbell,RobertHarold",MGT105-ProductPromotion&BrandMgt(A),WI19,195,191,92.7%,95.3%,3.91,B+(3.66),B+(3.53)
"Eberhard,CraigA",MGT106-SalesandSalesManagement(A),WI19,76,65,93.8%,85.9%,3.44,B+(3.33),B(3.01)
"Fuller,RobertL.",MGT112-GlobalBusinessStrategy(A),WI19,79,76,80.3%,86.8%,6.37,B+(3.63),B+(3.48)
"Fuller,RobertL.",MGT112-GlobalBusinessStrategy(B),WI19,79,76,69.7%,78.9%,6.79,B+(3.57),B+(3.48)
"Somasundaram,Tyagarajan",MGT112-GlobalBusinessStrategy(C),WI19,38,33,78.8%,84.8%,4.44,B+(3.33),B+(3.43)
"Somasundaram,Tyagarajan",MGT112-GlobalBusinessStrategy(D),WI19,14,10,80.0%,90.0%,4.10,B+(3.30),B+(3.43)
"Zimmermann,Carsten",MGT112-GlobalBusinessStrategy(E),WI19,70,55,94.5%,100.0%,3.85,B+(3.55),B+(3.54)
"Kim,NancySunKyung",MGT117-BusinessLaw(A),WI19,62,57,98.2%,92.9%,4.00,B+(3.63),B+(3.50)
"Pecore,JosephP.",MGT12-PersonalFinancialManagement(A),WI19,80,74,94.6%,93.2%,2.77,B+(3.44),B+(3.34)
"Pecore,JosephP.",MGT12-PersonalFinancialManagement(B),WI19,105,101,94.1%,95.0%,2.42,B+(3.43),B+(3.34)
"Zhu,KevinXiaoguo",MGT127-InnovationandTechStrategy(A),WI19,48,50,92.0%,96.0%,3.66,A-(3.72),B+(3.69)
"Bertomeu,Jeremy",MGT131A-IntermediateAccountingA(A),WI19,103,50,79.2%,80.9%,6.93,B(3.28),B(3.14)
"Houskeeper,Robert",MGT131B-IntermediateAccountingB(A),WI19,64,53,90.2%,96.1%,5.52,B+(3.48),B(3.24)
"Anderson,JohnCharles",MGT135-FederalTaxation-Companies(A),WI19,98,82,97.6%,98.8%,4.48,B+(3.53),B(3.11)
"Lindenberger,WadeDouglas",MGT136-AdvancedAccounting(A),WI19,59,57,96.5%,100.0%,3.90,A-(3.72),B+(3.54)
"Doran,MarthaS",MGT146-EthicsinAccounting(A),WI19,17,7,100.0%,100.0%,5.64,A(4.00),N/A
"Perols,JohanLars",MGT153-BusinessAnalytics(A),WI19,55,42,97.6%,100.0%,6.88,B+(3.39),B(3.14)
"Campbell,RobertHarold",MGT16-PersonalEthicsatWork(A),WI19,121,118,98.3%,98.3%,3.26,B+(3.58),B(3.22)
"Campbell,RobertHarold",MGT16-PersonalEthicsatWork(B),WI19,112,111,93.6%,96.4%,3.37,B+(3.49),B(3.22)
"Lindenberger,WadeDouglas",MGT16-PersonalEthicsatWork(C),WI19,60,58,100.0%,100.0%,2.64,A-(3.82),B+(3.63)
"Lindenberger,WadeDouglas",MGT16-PersonalEthicsatWork(D),WI19,77,75,96.0%,100.0%,2.90,A-(3.81),B+(3.63)
"McKay,MaryA",MGT164-BusinessandOrgLeadership(A),WI19,67,67,92.5%,88.1%,5.72,B(3.21),C+(2.60)
"Meyer,AlisonBloomfield",MGT164-BusinessandOrgLeadership(B),WI19,74,49,95.8%,97.9%,4.71,A-(3.75),B+(3.53)
"Moran,CathleenL.",MGT166-CorpSocialResponsibility(A),WI19,72,69,92.8%,91.3%,5.46,B(3.25),B(3.12)
"Moran,CathleenL.",MGT166-CorpSocialResponsibility(B),WI19,69,64,90.6%,92.2%,5.41,B(3.27),B(3.12)
"Moran,CathleenL.",MGT166-CorpSocialResponsibility(C),WI19,65,62,88.5%,91.8%,5.52,B(3.30),B(3.12)
"Shaffer,LisaRobock",MGT166-CorpSocialResponsibility(D),WI19,78,45,82.2%,84.4%,6.32,B(3.22),C+(2.62)
"Klaas,JeffreyDavid",MGT167-SocialEntrepreneurship(A),WI19,70,68,94.1%,100.0%,4.62,B+(3.59),B+(3.47)
"Hedges,Kathleen",MGT172-BusinessProjectManagement(A),WI19,79,97,94.8%,97.9%,3.81,B+(3.68),B+(3.38)
"Royal,Rebecca",MGT172-BusinessProjectManagement(A),WI19,84,78,93.6%,97.4%,3.74,B+(3.65),B+(3.44)
"Hedges,Kathleen",MGT172-BusinessProjectManagement(B),WI19,79,76,96.1%,97.4%,4.16,B+(3.70),B+(3.38)
"Zimmermann,Carsten",MGT172-BusinessProjectManagement(C),WI19,57,49,89.8%,91.8%,4.25,B+(3.54),B(3.29)
"Fuller,RobertL.",MGT173-ProjectMgt-HealthServices(A),WI19,89,82,89.0%,92.7%,3.99,A-(3.90),A-(3.81)
"Gopal,ChristopherS.",MGT175-SupplyChainManagement(A),WI19,59,42,87.8%,97.6%,3.48,B+(3.49),B+(3.32)
"McKay,MichaelJ",MGT18-ManagingDiverseTeams(A),WI19,65,59,88.1%,91.5%,3.72,B+(3.47),B(3.12)
"McKay,MichaelJ",MGT18-ManagingDiverseTeams(B),WI19,75,66,95.4%,98.5%,3.73,B(3.26),B(3.12)
"McKay,MichaelJ",MGT18-ManagingDiverseTeams(C),WI19,75,71,87.3%,93.0%,3.68,B+(3.39),B(3.12)
"McKay,MaryA",MGT18-ManagingDiverseTeams(D),WI19,74,69,85.5%,81.2%,3.37,B-(2.98),B-(2.81)
"McKay,MaryA",MGT18-ManagingDiverseTeams(E),WI19,13,12,100.0%,100.0%,2.67,B+(3.57),B-(2.81)
"Buchanan,HaroldG",MGT181-EnterpriseFinance(A),WI19,97,91,91.2%,90.1%,5.47,B(3.13),B-(2.93)
"Buchanan,HaroldG",MGT181-EnterpriseFinance(B),WI19,101,98,92.9%,90.8%,5.47,B(3.28),B-(2.93)
"Bliss,BarbaraAnn",MGT181-EnterpriseFinance(C),WI19,50,48,97.9%,97.9%,5.65,B+(3.30),B(3.01)
"Willoughby,MichaelGene",MGT183-FinancialInvestments(A),WI19,65,31,75.0%,82.1%,4.29,B+(3.56),C+(2.40)
"Dunn,LouisJean",MGT187-NewVentureFinance(A),WI19,86,39,81.1%,73.0%,4.39,B+(3.47),B-(2.70)
"Dunn,LouisJean",MGT187-NewVentureFinance(B),WI19,84,35,80.0%,82.9%,6.44,B+(3.38),B-(2.70)
"Wagner,TimothyRyan",MGT3-QuantMethodsinBusiness(A),WI19,40,32,84.4%,90.6%,4.88,B+(3.66),B(3.03)
"Levkoff,StevenB.",MGT4-FinancialAccounting(A),WI19,9,7,71.4%,85.7%,2.21,B-(2.71),N/A
"Pecore,JosephP.",MGT45-PrinciplesofAccounting(A),WI19,91,85,94.1%,98.8%,6.01,B+(3.48),B(3.10)
"Cheynel,Edwige",MGT45-PrinciplesofAccounting(B),WI19,40,21,100.0%,100.0%,2.80,A-(3.80),B+(3.59)
"Houskeeper,Robert",MGT5-ManagerialAccounting(A),WI19,66,55,83.6%,85.5%,5.05,B+(3.35),C+(2.55)
"Houskeeper,Robert",MGT5-ManagerialAccounting(B),WI19,170,141,85.5%,86.1%,4.73,B+(3.31),C+(2.55)
"Eberhard,CraigA",MGT103-ProductMarketing&Management(A),FA18,60,58,100.0%,100.0%,4.78,B+(3.42),B-(2.85)
"Eberhard,CraigA",MGT103-ProductMarketing&Management(B),FA18,73,64,96.9%,95.3%,4.59,B+(3.40),B-(2.85)
"Ehrich,KristineR",MGT103-ProductMarketing&Management(C),FA18,74,71,95.8%,90.1%,4.39,B(3.11),B-(2.72)
"Ehrich,KristineR",MGT103-ProductMarketing&Management(D),FA18,67,61,98.4%,95.1%,4.50,B+(3.44),B-(2.72)
"Ehrich,KristineR",MGT103-ProductMarketing&Management(E),FA18,57,56,89.1%,94.5%,4.94,B(3.04),B-(2.72)
"Demill,Burritt",MGT103-ProductMarketing&Management(F),FA18,38,42,95.2%,100.0%,4.69,B+(3.44),B+(3.49)
"Bates,KennethWalter",MGT103-ProductMarketing&Management(G),FA18,77,70,94.2%,88.4%,5.41,B+(3.41),B(3.17)
"Bates,KennethWalter",MGT103-ProductMarketing&Management(H),FA18,78,68,92.6%,92.6%,4.94,B+(3.41),B(3.17)
"Campbell,RobertHarold",MGT105-ProductPromotion&BrandMgt(A),FA18,124,107,100.0%,99.1%,3.72,A-(3.89),A-(3.77)
"Eberhard,CraigA",MGT106-SalesandSalesManagement(A),FA18,74,67,95.5%,95.5%,3.20,B+(3.48),B(3.07)
"Fuller,RobertL.",MGT112-GlobalBusinessStrategy(A),FA18,82,76,84.0%,92.0%,5.09,B+(3.61),B+(3.53)
"Fuller,RobertL.",MGT112-GlobalBusinessStrategy(B),FA18,84,80,83.3%,75.6%,4.91,B+(3.67),B+(3.53)
"Fuller,RobertL.",MGT112-GlobalBusinessStrategy(C),FA18,86,79,77.2%,72.2%,5.28,B+(3.66),B+(3.53)
"Kim,NancySunKyung",MGT117-BusinessLaw(A),FA18,40,38,97.4%,89.5%,3.76,A-(3.76),B+(3.50)
"Lindenberger,WadeDouglas",MGT12-PersonalFinancialManagement(A),FA18,88,88,98.9%,98.9%,2.98,A-(3.83),B+(3.57)
"Lindenberger,WadeDouglas",MGT12-PersonalFinancialManagement(B),FA18,72,70,100.0%,98.6%,2.70,A-(3.73),B+(3.57)
"Klaas,JeffreyDavid",MGT121A-InnovationtoMarketA(A),FA18,70,66,98.5%,98.5%,4.72,A-(3.84),B+(3.43)
"Greco,FrankJames",MGT129-TopicsinEntrepreneurship(A),FA18,13,10,100.0%,100.0%,2.50,B+(3.56),N/A
"Houskeeper,Robert",MGT131A-IntermediateAccountingA(A),FA18,92,60,91.1%,89.1%,5.89,B+(3.38),C+(2.41)
