Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Aguilar,AndresEhecatl",LIGN8-Languages&Cultures/America(A),S118,56,19,100.0%,100.0%,3.83,A-(3.82),B+(3.69)
"ElCheddadi,Youniss",LIAB1F-IntermediateArabicConversatn(A),SP18,13,6,100.0%,100.0%,1.50,A(4.00),N/A
"Matchin,WilliamGerald",LIGN101-Introduction/StudyofLanguage(A),SP18,60,25,100.0%,100.0%,3.33,B+(3.57),B(3.11)
"Caballero,GabrielaHernandez",LIGN120-Morphology(A),SP18,73,32,96.9%,93.5%,4.88,B+(3.63),B(3.21)
"Caponigro,Ivano",LIGN130-Semantics(A),SP18,72,39,89.7%,89.5%,4.18,B(3.03),B(3.21)
"McIntosh,JustinDaniel",LIGN139-FieldMethods(A),SP18,13,8,100.0%,100.0%,8.50,A-(3.71),N/A
"Kluender,Robert",LIGN154-LanguageandConsciousness(A),SP18,21,14,100.0%,100.0%,4.79,B+(3.36),B+(3.53)
"Bergen,Leon",LIGN165-ComputationalLinguistics(A),SP18,56,23,76.2%,90.5%,7.07,B+(3.42),B(3.30)
"Momma,Shota",LIGN170-Psycholinguistics(A),SP18,49,22,88.9%,88.2%,3.45,B+(3.50),B+(3.56)
"Wittenberg,EvaH",LIGN170-Psycholinguistics(A),SP18,49,27,90.9%,90.9%,3.54,B+(3.50),B+(3.56)
"Bakovic,EricJohn",LIGN175-Sociolinguistics(A),SP18,41,32,90.6%,96.9%,3.70,B+(3.66),B+(3.52)
"Ilkbasaran,Deniz",LIGN7-SignLanguages&TheirCultures(A),SP18,135,104,91.3%,95.1%,3.37,B(3.22),B-(2.98)
"Biswas,Priyanka",LIGN8-Languages&Cultures/America(A),SP18,121,55,92.5%,92.5%,2.84,B+(3.49),B(3.15)
"Alicio,Atilio",LIHL112P-FilipinoforFilipinoSpeakers(A),SP18,22,11,100.0%,100.0%,4.70,B+(3.55),B+(3.35)
"Hill,KimloanT.V.",LIHL114P-BeginningVietnameseforVietn(A),SP18,23,10,100.0%,100.0%,5.90,B+(3.50),B(3.06)
"Sadegholvad,Elham",LIHL115P-KoreanforKoreanSpeakers(A),SP18,10,4,100.0%,100.0%,3.00,B+(3.50),N/A
"Sadegholvad,Elham",LIHL117P-PersianforPersianSpeakers(A),SP18,23,9,100.0%,100.0%,1.83,A-(3.86),A-(3.91)
"Sadegholvad,Elham",LIHL119P-HindiforHindiSpeakers(A),SP18,22,10,100.0%,100.0%,4.90,A-(3.88),A-(3.91)
"Hill,KimloanT.V.",LIHL124P-IntVietnamese/VietnameseSpkr(A),SP18,19,10,100.0%,100.0%,3.50,A-(3.80),N/A
"Alicio,Atilio",LIHL132P-AdvFilipino/FilipinoSpkrs(A),SP18,17,11,100.0%,100.0%,4.50,A-(3.70),N/A
"Hill,KimloanT.V.",LIHL134P-AdvVietnamese/VietnameseSpkr(A),SP18,15,3,100.0%,100.0%,2.50,A(4.00),N/A
