Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Gallagher-Geurtsen,TriciaMeghan","EDS117-Language,Culture&Education(A)",FA17,68,53,98.1%,100.0%,4.81,A-(3.72),A-(3.88)
"Chung,LuzMarina","EDS117-Language,Culture&Education(B)",FA17,56,20,89.5%,94.7%,5.87,A-(3.87),B+(3.68)
"Page,RachelLys",EDS118-AdolescentDevlp&Education(A),FA17,45,21,85.7%,81.0%,3.50,A-(3.75),A-(3.92)
"Jones,Makeba",EDS120-Intro.toDesign-BasedRsrch(A),FA17,5,4,100.0%,100.0%,3.50,A(4.00),N/A
"Allen,BobbieM","EDS125-Hist,Polic&Theory/BilingualEd(A)",FA17,63,24,77.3%,86.4%,3.83,A-(3.83),A-(3.81)
"Binder,Amy",EDS126-SocialOrganization/Education(A),FA17,20,9,100.0%,100.0%,4.72,B(3.25),B(3.08)
"Millstone,RachelDiana",EDS129A-Intro/Teach&Learn(Secondary)(A),FA17,46,20,94.1%,100.0%,6.85,A-(3.94),A-(3.85)
"Holtzman,CarenLynn",EDS130-Intro/AcadMent/ElemSchlStdn(A),FA17,37,26,100.0%,100.0%,4.42,A-(3.88),A-(3.80)
"WishardGuerra,AlisonG.",EDS131-EarlyChildDev&Education(A),FA17,29,11,100.0%,80.0%,6.72,A-(3.80),B+(3.42)
"Drake,KristyNicole",EDS136-Intro/AcadTut/SecondSchlStd(A),FA17,27,27,96.3%,100.0%,5.54,A-(3.92),A-(3.87)
"Hofstetter,Carolyn",EDS150-CASPTransferIntroCourse(A),FA17,18,10,83.3%,100.0%,1.17,A(4.00),N/A
"VanNess,KarenClark",EDS150-CASPTransferIntroCourse(B),FA17,23,13,90.9%,100.0%,2.50,A(4.00),N/A
"Hofstetter,Carolyn",EDS150-CASPTransferIntroCourse(C),FA17,20,12,87.5%,75.0%,2.50,A(4.00),N/A
"Heinzman,EricaM.",EDS39-Prac/Sci&MathTeching/Learning(A),FA17,13,12,100.0%,100.0%,3.50,A-(3.83),N/A
"VanNess,KarenClark",EDS50-CASPFroshIntroCourse(A),FA17,19,11,90.0%,100.0%,1.59,A-(3.86),N/A
"Hofstetter,Carolyn",EDS50-CASPFroshIntroCourse(B),FA17,20,12,75.0%,72.7%,1.00,A-(3.83),N/A
"Hofstetter,Carolyn",EDS50-CASPFroshIntroCourse(C),FA17,19,13,91.7%,91.7%,1.58,A-(3.78),N/A
"VanNess,KarenClark",EDS50-CASPFroshIntroCourse(D),FA17,19,14,92.3%,100.0%,1.79,A-(3.80),N/A
"Hofstetter,Carolyn",EDS50-CASPFroshIntroCourse(E),FA17,17,7,85.7%,100.0%,1.36,N/A,N/A
"Hofstetter,Carolyn",EDS50-CASPFroshIntroCourse(F),FA17,18,9,100.0%,100.0%,1.07,B+(3.67),N/A
"Hofstetter,Carolyn",EDS50-CASPFroshIntroCourse(G),FA17,20,11,90.9%,90.9%,2.50,B+(3.60),N/A
"Hofstetter,Carolyn",EDS50-CASPFroshIntroCourse(H),FA17,9,6,100.0%,100.0%,1.17,A(4.00),N/A
"O'Connor,WendyLynn",EDS115-CogDevelopment&Education(A),S317,20,9,55.6%,44.4%,6.50,A(4.00),N/A
"VanSteenbergen,SuzanneMichele","EDS117-Language,Culture&Education(A)",S317,32,15,100.0%,100.0%,8.93,A(4.00),N/A
"Forbes,CherylA","EDS125-Hist,Polic&Theory/BilingualEd(A)",S317,31,19,83.3%,88.9%,9.34,A(4.00),N/A
"Holtzman,CarenLynn",EDS128A-Intro/Teaching&Learning(Elem)(A),S317,25,22,95.5%,100.0%,9.59,A(4.00),N/A
"Bresser,BernardGeorge",EDS128B-Intro/Teaching&Learning(Elem)(A),S317,25,13,100.0%,100.0%,10.04,A(4.00),N/A
"Garcia,DanikaJuly",EDS20S-Intro/PrinciplesofLearning(A),S217,124,62,85.7%,100.0%,6.47,B(3.09),N/A
"WishardGuerra,AlisonG.",EDS115GS-CogDevelopment&Education(A),S117,13,3,100.0%,100.0%,9.83,A(4.00),N/A
"WishardGuerra,AlisonG.","EDS117GS-Language,Culture&Education(A)",S117,13,4,100.0%,100.0%,8.50,A-(3.75),N/A
"Chapman,ThandekaK",EDS112-U.S.UrbanEducation(C),SP17,48,15,100.0%,100.0%,5.42,A-(3.83),A-(3.78)
"Esper,SarahMarie",EDS114-CognDevelp&IntractvComptEnv(A),SP17,25,10,100.0%,100.0%,4.28,A-(3.78),A-(3.93)
"WishardGuerra,AlisonG.",EDS115-CogDevelopment&Education(A),SP17,55,25,100.0%,100.0%,3.86,A-(3.78),B+(3.58)
"Velasquez,Patrick",EDS116-Psych/Teach&Struc/Information(A),SP17,31,9,100.0%,100.0%,5.00,B(3.00),N/A
